,Country,Closeness,Betweeness,Eigenvector
0,ABW,0.3841767476221258,3.4059774775470054e-06,0.0560303434575529
1,ARE,0.5141188828472565,0.002983107685301018,0.08564679362301457
2,ARG,0.45109785849823797,0.0012731590155735924,0.07457527821354797
3,ARM,0.40888987173816893,0.00011717603696390061,0.06421872719291814
4,ATG,0.3862992710896513,0.00016962901565438062,0.05668991490212702
5,AUS,0.510366190271729,0.002983568569523407,0.08516330820056373
6,AUT,0.4889522242463418,0.0027215070304498824,0.082342897748851
7,AZE,0.40888987173816893,0.00017957990695525146,0.06463179006670482
8,BDI,0.3800009134088418,4.5075093881400386e-05,0.05587801961331622
9,BEL,0.5217922990091559,0.004764604018584106,0.08714481632112397
10,BEN,0.4237585943468296,0.00033937847432716044,0.06855372664145558
11,BFA,0.4065126050420168,0.0001712409720285777,0.06379459962657998
12,BGR,0.4822080556360475,0.001949449915379843,0.0813186345749662
13,BIH,0.4112951062778052,0.0003226021667096825,0.06487149934290355
14,BLR,0.4112951062778052,0.0004065384362419659,0.06490229148242478
15,BLZ,0.39280993296194877,0.00014945472222547402,0.05858588819170455
16,BMU,0.37794685441744263,4.541802978432866e-05,0.053689494786508765
17,BRA,0.49588771678884314,0.003615950169037675,0.08272947403803729
18,BRB,0.40888987173816893,0.0004289626495117559,0.06392607090123631
19,BRN,0.39280993296194877,0.00017993532253484426,0.060060961974283865
20,BWA,0.39727368220015274,0.0001511011612379992,0.06113162726123884
21,CAN,0.5296982429335371,0.00423054486934857,0.08768545379001884
22,CHE,0.5179271708683473,0.0035540300034646592,0.08620166826426774
23,CHL,0.47564740181786996,0.0012621881615988329,0.07930918381746187
24,CHN,0.5378474466709761,0.004617977246484639,0.0889918015722274
25,CIV,0.45402706537160314,0.0006261144509240497,0.07561193578973668
26,COG,0.45402706537160314,0.0004045841473301328,0.07568058971866748
27,COL,0.47890526073443074,0.002264191596179133,0.08004139163880929
28,COM,0.36607417836244444,1.2957058878970503e-05,0.050429564494015866
29,CPV,0.3841767476221258,3.339363686360578e-05,0.057018618589106534
30,CRI,0.4263424882147981,0.0005774027695386342,0.0686443804414497
31,CYP,0.45109785849823797,0.001118340341532948,0.07554219478381749
32,CZE,0.47890526073443074,0.001953786701117131,0.08069883829510408
33,DEU,0.5257155493776458,0.005161594867047198,0.08786750915222984
34,DNK,0.4994297719087634,0.0029840993383317372,0.08431397004889694
35,ECU,0.43160597572362275,0.0006190026103512939,0.07020387277933055
36,EGY,0.4822080556360475,0.0012722083054987957,0.0809924166061197
37,ESP,0.5217922990091559,0.004907076926217327,0.08752142393231192
38,EST,0.42895808630200544,0.0006939650826303708,0.07051186751769765
39,EUN,0.0,0.0,5.6260282540004576e-14
40,FIN,0.47243356802180325,0.002385701227608938,0.07954109182301843
41,FJI,0.3719157875916324,0.000505616014932309,0.05235692008852755
42,FRA,0.5296982429335371,0.005086053536571126,0.08822922302512316
43,GBR,0.5257155493776458,0.005125981407066835,0.0878580874060927
44,GEO,0.43160597572362275,0.0002526179274496064,0.07002215729139373
45,GHA,0.4889522242463418,0.0011189802123559574,0.08210423540280931
46,GMB,0.40888987173816893,8.95398642855182e-05,0.06472317292367173
47,GRC,0.4855567226890756,0.002571863266484332,0.08179857605611296
48,GTM,0.4237585943468296,0.0004429507737865116,0.06843951418525945
49,GUY,0.4041628211978433,0.0004381662197022955,0.062315135478447914
50,HKG,0.510366190271729,0.002298773352394295,0.08513988746278743
51,HND,0.4041628211978433,0.00018855093851253416,0.06318513647916411
52,HRV,0.43974948469954017,0.0009576268516308677,0.0731562048724682
53,HUN,0.46000110570544006,0.0016343797856711538,0.07700771199412414
54,IDN,0.49588771678884314,0.0030785505469077988,0.08287011363247515
55,IND,0.5217922990091559,0.004153596519490727,0.08703677933717725
56,IRL,0.4889522242463418,0.0024189470009252432,0.08221163889366799
57,ISL,0.41868364112111905,0.00041890488991796056,0.0669444099163372
58,ISR,0.46000110570544006,0.000618939400745408,0.0753506906814483
59,ITA,0.5217922990091559,0.0044250016440340505,0.0872502607377467
60,JAM,0.41619147659063627,0.0004914401632698785,0.0656930078060508
61,JOR,0.45699456253089465,0.0008689496836254994,0.07589588150716664
62,JPN,0.5179271708683473,0.0033737083740788807,0.08636275425171892
63,KAZ,0.4212058317302824,0.0002622273282612365,0.0676548338948542
64,KEN,0.4822080556360475,0.0012041532997071737,0.080799917358708
65,KGZ,0.3841767476221258,5.836663356820962e-05,0.0565347815984005
66,KHM,0.4263424882147981,0.000603478371726519,0.06868522872199216
67,KOR,0.5179271708683473,0.003992769466614322,0.08636275425171892
68,KWT,0.4661344537815126,0.0009939379821805683,0.07773460633739154
69,LAO,0.3841767476221258,0.00015076930763441388,0.0569109766397717
70,LCA,0.373904642070732,0.00019596395652135107,0.05288524380490862
71,LTU,0.45109785849823797,0.001154239932554669,0.07544136517718118
72,LUX,0.4237585943468296,0.001305700267130458,0.06911897605935369
73,LVA,0.44535138896322857,0.001371675190910559,0.07407051611592289
74,MAC,0.3800009134088418,2.029550526977807e-05,0.05560996281314828
75,MAR,0.47243356802180325,0.001030444138500309,0.07925958029419729
76,MDA,0.40888987173816893,0.00036592856019710074,0.06379484388110299
77,MDG,0.4237585943468296,0.000525477661782397,0.06803279832199875
78,MEX,0.4994297719087634,0.0012116686257001776,0.08339040026363358
79,MKD,0.39727368220015274,0.00023712172276047793,0.06054313163795702
80,MLT,0.4425327092862461,0.0010445779253712149,0.07336791309020156
81,MMR,0.43160597572362275,0.0005735517969086897,0.07028639726223254
82,MNG,0.40888987173816893,8.922271434768004e-05,0.06403677588629388
83,MRT,0.41868364112111905,0.0002412694762396976,0.06722837519136042
84,MUS,0.44535138896322857,0.0007293144065731696,0.07324814377017368
85,MWI,0.3950291981199259,0.00020933420626390975,0.060133452059638624
86,MYS,0.5179271708683473,0.003444084208725536,0.08629002605186338
87,NAM,0.41372880513152005,0.0007592969427968425,0.06528552841891164
88,NGA,0.4923955497692034,0.0007218611889060875,0.08239216747518961
89,NIC,0.39954381752701074,0.00018109202953134305,0.06169623480281672
90,NLD,0.5337417409711976,0.00675794261578735,0.08876357051414663
91,NOR,0.5066678845451223,0.002500712953639032,0.08461370484960506
92,NZL,0.5030227918505531,0.003007422070478516,0.08381958590178437
93,OAS,0.5141188828472565,0.0032211837165563822,0.08559099611781139
94,PAK,0.4889522242463418,0.0017871298177010858,0.0816047388838786
95,PER,0.45402706537160314,0.0012247478884833214,0.07544964815325712
96,PHL,0.4923955497692034,0.0026032830162245513,0.08233916133802598
97,POL,0.49588771678884314,0.00323694369436053,0.0835169331304104
98,PRT,0.49588771678884314,0.003288745078959697,0.08343644628360289
99,PRY,0.41372880513152005,0.00024631505679401593,0.06579940480197384
100,QAT,0.4630474706438867,0.0006715724917936899,0.07710489183251469
101,ROM,0.46000110570544006,0.0015826373426474664,0.0773094457766245
102,RUS,0.4923955497692034,0.0017062591545680887,0.08231919713445365
103,RWA,0.41619147659063627,0.00023882551856819288,0.06623278089922227
104,SAU,0.4855567226890756,0.0013654202748689661,0.08112885655798145
105,SEN,0.4482062055591467,0.0006500318614747218,0.07428214510269415
106,SER,0.43428675818153345,0.0007003642965085716,0.0702837616627124
107,SGP,0.5030227918505531,0.0031495590181316304,0.08405706781280609
108,SLV,0.38844537815126046,0.00019108602574757744,0.058306540952913634
109,STP,0.3345462586948655,1.531422078241584e-05,0.03792927096327175
110,SUR,0.4065126050420168,0.00019464767983190377,0.06332777777512881
111,SVK,0.4482062055591467,0.0014888637867475785,0.07421273905620708
112,SVN,0.43974948469954017,0.001655415452726791,0.0727147555757904
113,SWE,0.4855567226890756,0.0028102508566607218,0.0816308060378895
114,SWZ,0.3841767476221258,0.0002049431948391179,0.05624391615483335
115,SYC,0.40184004636337295,0.00013825918038713595,0.06186703609985881
116,TGO,0.4263424882147981,0.00027702991032202927,0.06946826237727763
117,THA,0.510366190271729,0.004562509266986818,0.08505220250563822
118,TUN,0.44535138896322857,0.0007554385140131012,0.07371160112924316
119,TUR,0.510366190271729,0.003859650734268995,0.08531114707915784
120,URY,0.42895808630200544,0.0008624240349354306,0.06966953047339812
121,USA,0.5378474466709761,0.005573513902299659,0.08876357051420289
122,UZB,0.39280993296194877,6.779843441218724e-05,0.059812575586155305
123,VCT,0.38207742113238735,0.0002298097621403539,0.055507746899140294
124,VNM,0.5066678845451223,0.0004410032207990815,0.08461534514036528
125,WSM,0.33137520411008003,0.00010537756882084324,0.03644339031798882
126,YEM,0.39954381752701074,1.0604588276389648e-05,0.061860276111741525
127,ZAF,0.5030227918505531,0.00399153115281043,0.08403388794707206
128,ZMB,0.41868364112111905,0.0003470346708902574,0.06649960620670112
129,ZWE,0.41372880513152005,0.00015673850685961682,0.06522334373227179
